Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,50,1276-1182-1-ND,CL10A105KP8NNNC,CAP CER 1UF 10V X5R 0603,"C1, C5, C6, C7",0,0.0208,$1.04 
2,10,445-14258-1-ND,C1608X7S1A475K080AC,CAP CER 4.7UF 10V X7S 0603,"C2, C3",0,0.174,$1.74 
3,50,399-1087-1-ND,C0603C472K5RACTU,CAP CER 4700PF 50V X7R 0603,C4,0,0.0226,$1.13 
4,10,SML-D12U1WT86CT-ND,SML-D12U1WT86,LED RED DIFFUSED 1608 SMD,LED1,0,0.147,$1.47 
5,10,A130452CT-ND,CRGP0603F1M0,CRGP 0603 1M0 1%,R1,0,0.121,$1.21 
6,100,A130092CT-ND,CRGCQ0603J1K5,CRGCQ 0603 1K5 5%,R2,0,0.0083,$0.83 
7,5,1727-3884-1-ND,"PRTR5V0U2X,215",TVS DIODE 5.5V SOT143B,U1,0,0.51,$2.55 
8,5,AP7365-33WG-7DICT-ND,AP7365-33WG-7,IC REG LINEAR 3.3V 600MA SOT25,U2,0,0.42,$2.10 
9,3,ATSAMD21E18A-AU-ND,ATSAMD21E18A-AU,IC MCU 32BIT 256KB FLASH 32TQFP,U3,0,2.91,$8.73 
,,,,,,,,
,,,,,,,Subtotal,$20.80 
